id,user_id_trustor,user_id_trustee,trust_value
1,2,966,1
2,2,104,1
3,5,1509,1
4,6,1192,1
5,7,1510,1
6,12,234,1
7,15,652,1
8,15,883,1
9,15,1511,1
10,15,1512,1
11,15,1239,1
12,16,301,1
13,16,509,1
14,18,1185,1
15,20,1441,1
16,20,1185,1
17,26,1179,1
18,26,60,1
19,27,1513,1
20,27,74,1
21,27,1514,1
22,29,965,1
23,29,298,1
24,29,1106,1
25,29,1398,1
26,29,436,1
27,29,892,1
28,29,1061,1
29,29,1350,1
30,29,989,1
31,29,1435,1
32,29,403,1
33,29,546,1
34,29,1159,1
35,29,1147,1
36,29,509,1
37,29,969,1
38,29,129,1
39,29,1481,1
40,29,568,1
41,29,716,1
42,29,188,1
43,29,628,1
44,35,1377,1
45,35,637,1
46,36,320,1
47,36,1229,1
48,1515,1333,1
49,38,483,1
50,38,1516,1
51,38,272,1
52,38,795,1
53,1517,947,1
54,47,1033,1
55,47,1518,1
56,51,1406,1
57,1519,1520,1
58,1521,1075,1
59,57,239,1
60,58,965,1
61,60,26,1
62,60,733,1
63,60,775,1
64,60,1522,1
65,60,1523,1
66,61,182,1
67,61,263,1
68,63,1524,1
69,63,1174,1
70,63,409,1
71,63,1274,1
72,1525,1327,1
73,1525,552,1
74,66,1147,1
75,74,27,1
76,78,1526,1
77,78,291,1
78,79,1153,1
79,79,739,1
80,79,1072,1
81,79,1249,1
82,79,188,1
83,79,315,1
84,79,426,1
85,79,355,1
86,79,863,1
87,79,842,1
88,79,782,1
89,79,282,1
90,1527,94,1
91,80,509,1
92,80,683,1
93,80,1187,1
94,80,628,1
95,80,965,1
96,80,1528,1
97,83,208,1
98,85,1055,1
99,86,43,1
100,1529,271,1
101,88,862,1
102,89,129,1
103,89,403,1
104,89,509,1
105,89,1530,1
106,89,410,1
107,89,298,1
108,89,1287,1
109,89,628,1
110,90,109,1
111,1531,1532,1
112,94,1495,1
113,95,1252,1
114,95,1533,1
115,95,1292,1
116,95,1232,1
117,95,1021,1
118,95,96,1
119,96,95,1
120,99,188,1
121,99,712,1
122,103,1505,1
123,103,368,1
124,109,1415,1
125,109,499,1
126,110,1491,1
127,114,509,1
128,114,1344,1
129,116,738,1
130,116,553,1
131,120,509,1
132,120,628,1
133,1534,316,1
134,129,298,1
135,129,1160,1
136,129,1414,1
137,129,29,1
138,129,89,1
139,135,436,1
140,1532,80,1
141,1532,188,1
142,1532,241,1
143,1532,1481,1
144,1532,892,1
145,1535,417,1
146,1535,826,1
147,141,965,1
148,143,514,1
149,143,1207,1
150,1509,230,1
151,146,23,1
152,146,264,1
153,146,1355,1
154,149,343,1
155,154,1288,1
156,154,898,1
157,154,372,1
158,154,1331,1
159,154,361,1
160,154,433,1
161,154,806,1
162,1536,272,1
163,161,300,1
164,161,825,1
165,161,272,1
166,161,1298,1
167,162,1398,1
168,162,1034,1
169,163,1435,1
170,163,1537,1
171,164,1538,1
172,164,644,1
173,165,584,1
174,165,499,1
175,165,1415,1
176,165,752,1
177,165,361,1
178,165,516,1
179,165,433,1
180,165,1288,1
181,166,188,1
182,167,628,1
183,1539,425,1
184,168,1216,1
185,168,630,1
186,171,1540,1
187,173,1541,1
188,174,872,1
189,1542,1327,1
190,182,263,1
191,182,61,1
192,188,1479,1
193,188,221,1
194,188,495,1
195,188,1022,1
196,188,509,1
197,188,905,1
198,188,1420,1
199,188,716,1
200,188,591,1
201,188,312,1
202,188,965,1
203,188,166,1
204,188,1398,1
205,188,1504,1
206,188,99,1
207,188,1361,1
208,188,402,1
209,188,989,1
210,188,478,1
211,188,29,1
212,188,782,1
213,188,1350,1
214,188,1327,1
215,188,552,1
216,188,150,1
217,188,491,1
218,188,1106,1
219,188,397,1
220,188,79,1
221,188,628,1
222,188,1532,1
223,188,1137,1
224,188,1481,1
225,188,307,1
226,188,1435,1
227,188,436,1
228,191,1284,1
229,191,810,1
230,192,300,1
231,193,1157,1
232,196,448,1
233,199,1043,1
234,200,507,1
235,200,1543,1
236,201,1197,1
237,201,395,1
238,201,319,1
239,208,83,1
240,1544,969,1
241,210,6,1
242,213,1057,1
243,215,1200,1
244,215,1187,1
245,217,1242,1
246,220,825,1
247,221,188,1
248,221,1420,1
249,222,938,1
250,222,578,1
251,222,315,1
252,222,273,1
253,222,782,1
254,223,509,1
255,223,1147,1
256,223,489,1
257,223,1398,1
258,223,636,1
259,227,1208,1
260,227,448,1
261,227,1545,1
262,227,457,1
263,227,345,1
264,227,196,1
265,228,718,1
266,228,1168,1
267,231,873,1
268,231,1039,1
269,232,477,1
270,238,509,1
271,240,1187,1
272,240,777,1
273,240,918,1
274,240,489,1
275,240,546,1
276,240,683,1
277,241,1532,1
278,242,1435,1
279,242,1159,1
280,244,1078,1
281,244,1546,1
282,249,984,1
283,254,298,1
284,256,1505,1
285,256,103,1
286,256,554,1
287,256,857,1
288,1547,1299,1
